Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,,,,,,,,,,,,,,,,
POST,6,-8.024536133,-4.253316879,-3.533524752,-5.987361431,-8.234012604,-4.057010174,-5.103980541,-5.136698246,-5.136698246,-6.510846615,-6.281822205,-5.660182953,-5.562029839,-4.253316879,-5.234851837,,,,,,,,,,,,,,,,
POST,7,-8.234012604,-4.057010174,-3.827985287,-5.88920784,-8.234012604,-5.234851837,-5.234851837,-5.169415951,-5.921925545,-6.609000206,-6.2491045,-5.660182953,-6.085515022,-4.089727879,-5.234851837,,,,,,,,,,,,,,,,
POST,8,-8.234012604,-4.187880993,-3.926138639,-5.88920784,-8.217898369,-4.351469994,-5.300287247,-5.103980541,-5.758336544,-6.609000206,-6.2491045,-5.463876247,-5.95464325,-4.776802063,-4.973108768,,,,,,,,,,,,,,,,
POST,9,-8.217898369,-4.187880993,-3.926138639,-5.562029839,-8.217898369,-3.958856583,-5.300287247,-4.907673359,-5.95464325,-6.510846615,-5.660182953,-6.150950909,-5.95464325,-4.318752289,-4.973108768,,,,,,,,,,,,,,,,
POST,10,-8.217898369,-4.089727879,-3.893420935,-5.529312134,-8.217898369,-4.351469994,-5.365722656,-5.267569542,-5.95464325,-6.510846615,-6.379975319,-5.921925545,-5.88920784,-4.384188175,-5.005826473,,,,,,,,,,,,,,,,
POST,11,-8.217898369,-4.089727879,-3.893420935,-5.496593952,-8.234012604,-3.991574287,-5.365722656,-5.300287247,-5.529312134,-6.510846615,-5.95464325,-6.314539909,-5.856490135,-4.416906357,-5.005826473,,,,,,,,,,,,,,,,
POST,12,-8.234012604,-4.286034584,-3.697113752,-5.856490135,-8.234012604,-4.253316879,-5.234851837,-5.202133656,-5.987361431,-6.445411205,-5.725618839,-6.085515022,-5.856490135,-4.089727879,-4.842237473,,,,,,,,,,,,,,,,
POST,13,-8.169557571,-4.286034584,-3.991574287,-5.88920784,-8.234012604,-5.365722656,-5.136698246,-5.300287247,-4.842237473,-6.445411205,-6.150950909,-5.921925545,-5.725618839,-4.318752289,-4.907673359,,,,,,,,,,,,,,,,
POST,14,-8.201785088,-4.220599174,-3.991574287,-5.88920784,-8.201785088,-4.286034584,-5.234851837,-5.234851837,-5.202133656,-6.445411205,-6.183668613,-6.052796841,-5.987361431,-4.318752289,-5.234851837,,,,,,,,,,,,,,,,
POST,15,-8.234012604,-4.220599174,-3.893420935,-5.594747543,-8.169557571,-4.057010174,-5.234851837,-5.103980541,-5.660182953,-6.445411205,-5.562029839,-5.496593952,-5.758336544,-4.384188175,-5.234851837,,,,,,,,,,,,,,,,
POST,16,-8.234012604,-4.220599174,-3.893420935,-5.562029839,-8.169557571,-4.384188175,-5.103980541,-5.333004951,-4.973108768,-6.445411205,-6.281822205,-5.463876247,-6.2491045,-4.547777176,-5.300287247,,,,,,,,,,,,,,,,
POST,17,-8.121217728,-4.122445583,-3.991574287,-5.496593952,-8.217898369,-4.940391064,-5.234851837,-5.267569542,-5.431158543,-6.379975319,-6.052796841,-5.88920784,-6.2491045,-4.449624062,-5.300287247,,,,,,,,,,,,,,,,
POST,18,-8.201785088,-4.318752289,-3.991574287,-5.267569542,-8.217898369,-4.286034584,-5.234851837,-5.300287247,-5.823771954,-6.281822205,-6.183668613,-6.085515022,-5.95464325,-4.318752289,-5.202133656,,,,,,,,,,,,,,,,
POST,19,-8.217898369,-4.318752289,-3.926138639,-5.725618839,-8.217898369,-5.169415951,-5.333004951,-5.202133656,-5.823771954,-6.347257614,-6.183668613,-5.431158543,-5.95464325,-4.449624062,-5.136698246,,,,,,,,,,,,,,,,
POST,20,-8.217898369,-4.351469994,-3.762549639,-5.725618839,-8.234012604,-4.057010174,-5.333004951,-5.267569542,-5.758336544,-6.510846615,-5.725618839,-5.95464325,-5.95464325,-4.515059471,-5.136698246,,,,,,,,,,,,,,,,
POST,21,-8.201785088,-4.351469994,-4.089727879,-5.725618839,-8.234012604,-4.384188175,-5.202133656,-5.234851837,-5.95464325,-6.576282501,-5.987361431,-5.88920784,-6.085515022,-4.482341766,-5.169415951,,,,,,,,,,,,,,,,
POST,22,-8.217898369,-4.089727879,-4.089727879,-5.725618839,-8.234012604,-4.253316879,-5.136698246,-5.202133656,-5.562029839,-6.576282501,-5.95464325,-6.281822205,-6.020079136,-4.547777176,-5.169415951,,,,,,,,,,,,,,,,
POST,23,-8.217898369,-4.155163288,-3.697113752,-5.758336544,-8.234012604,-4.253316879,-4.907673359,-5.529312134,-5.95464325,-6.510846615,-6.052796841,-6.2491045,-6.020079136,-4.351469994,-5.07126236,,,,,,,,,,,,,,,,
POST,24,-8.217898369,-4.155163288,-3.827985287,-5.758336544,-8.185671806,-4.024291992,-5.267569542,-5.267569542,-5.823771954,-6.510846615,-5.791054249,-5.856490135,-5.823771954,-4.253316879,-5.07126236,,,,,,,,,,,,,,,,
POST,25,-8.217898369,-4.155163288,-3.827985287,-5.463876247,-8.217898369,-4.286034584,-5.267569542,-5.234851837,-5.529312134,-6.510846615,-5.791054249,-6.150950909,-5.823771954,-4.547777176,-4.940391064,,,,,,,,,,,,,,,,
POST,26,-8.217898369,-4.187880993,-3.958856583,-6.020079136,-8.217898369,-4.613213062,-5.202133656,-5.496593952,-5.95464325,-6.510846615,-6.216386318,-5.594747543,-5.823771954,-4.678648472,-4.907673359,,,,,,,,,,,,,,,,
POST,27,-8.217898369,-4.253316879,-3.958856583,-6.020079136,-8.217898369,-4.416906357,-5.136698246,-5.234851837,-5.725618839,-6.314539909,-6.150950909,-5.95464325,-5.987361431,-4.449624062,-4.842237473,,,,,,,,,,,,,,,,
POST,28,-8.201785088,-4.253316879,-3.991574287,-5.987361431,-8.217898369,-4.580495358,-5.136698246,-5.267569542,-5.496593952,-6.314539909,-6.118233204,-6.2491045,-6.2491045,-4.744084358,-4.842237473,,,,,,,,,,,,,,,,
POST,29,-8.217898369,-4.187880993,-4.187880993,-5.987361431,-8.217898369,-4.024291992,-5.202133656,-5.398440838,-5.529312134,-6.314539909,-5.823771954,-5.88920784,-6.2491045,-4.744084358,-4.842237473,,,,,,,,,,,,,,,,
POST,30,-8.185671806,-4.416906357,-4.187880993,-5.921925545,-8.217898369,-4.089727879,-5.202133656,-5.529312134,-5.823771954,-6.54356432,-6.281822205,-6.085515022,-5.856490135,-4.515059471,-5.234851837,,,,,,,,,,,,,,,,
