Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
PRE,39,-164.8029512,-523.4917118,-329.605867,-431.3959604,-372.4061751,-450.7845076,-247.2043959,NaN,-174.4972071,-552.5745304,-121.178645,-237.5101179,-402.313069,-189.038644,-198.7329529,
PRE,40,-266.5929563,-285.9815829,-319.9115758,-431.3959604,-358.0828321,-378.0773056,-237.5101002,NaN,-315.0644832,-382.9245219,-169.6500615,-276.2872828,-445.9374326,-140.5672054,-232.6629899,
PRE,41,-329.6058847,-489.5616726,-237.5101355,-412.0073448,-370.0189218,-412.0073603,-305.3701478,NaN,-324.7587302,-542.8802745,-121.178645,-150.2615011,-426.5487795,-159.9557967,-169.6500814,
PRE,42,-232.6629722,-334.4530303,-290.8287374,-513.7974007,-310.3384733,-353.8416393,-247.2044179,NaN,-256.8986827,-470.1730901,-213.2743986,-159.9557879,-373.230213,-164.8029556,-213.2743986,
PRE,43,-237.5101179,-334.4530303,-276.2873005,-513.7974007,-341.3723419,-358.6887496,-256.8987092,NaN,-208.4272706,-358.6887761,-155.1086511,-232.6629722,-402.3130161,-169.6500968,-159.9558056,
PRE,44,-140.5671877,-295.6758836,-213.2743721,-450.7844988,-341.3723419,-329.6058317,-266.5929739,NaN,-174.4972424,-484.7144917,-184.1915337,-184.1915513,-315.0644655,-159.9558144,-155.1086423,
PRE,45,-174.4972513,-407.1602235,-339.3001406,-426.5488016,-298.4023836,-339.3001671,-271.4401637,NaN,-208.4272794,-499.2559815,-145.414351,-159.9557923,-344.1473039,-145.414351,-135.7200598,
PRE,46,-150.261532,-344.1473216,-266.5930269,-426.5487624,-427.312223,-305.3701213,-276.2872828,NaN,-189.038644,-489.5616549,-155.1086599,-174.4972424,-378.0773056,-189.0386793,-184.1915182,
PRE,47,-319.9115979,-344.1473216,-266.5930269,-445.9373267,-319.8873451,-378.0773056,-218.1215177,NaN,-222.9686987,-460.4788518,-198.7329441,-184.1915204,-416.8544529,-145.4143599,-106.6372125,
PRE,48,-184.1914984,-436.2430707,-266.5929916,-445.9373267,-412.98888,-382.924491,-285.9815829,NaN,-305.3701478,-455.6316003,-164.8029512,-189.0386616,-339.3002113,-169.6500791,-169.6500836,
PRE,49,NaN,NaN,-266.5930269,NaN,-298.4023836,-353.8416393,NaN,NaN,NaN,-441.0902694,-164.8029512,-155.1086423,-358.6887408,-184.1914984,-159.9557967,
POST,1,-496.5415079,-319.9115979,-358.6888114,-450.7845076,-556.2220623,-329.6059024,-256.8987224,-116.3314861,-252.0515371,-518.644564,-169.6500791,-184.1915425,-276.2872652,-159.9558056,-315.0644567,
POST,2,-448.7971138,-319.9115979,-242.3572635,-450.7845076,-563.3837162,-305.3701301,-339.3001671,-116.3314773,-222.9686633,-310.2172845,-247.2044268,-222.9686987,-266.5929916,-164.80296,-353.8415957,
POST,3,-451.1843671,-271.4401372,-421.7016162,-339.3001759,-506.0904503,-276.2872873,-300.5229933,-101.7900581,-387.7715969,-586.5046027,-145.4143577,-193.8858073,-319.9115935,-193.8858073,-387.7716322,
POST,4,-453.5716203,-281.1344296,-334.452995,-368.3830497,-484.6054535,-319.9116111,-281.1344373,-121.1786229,-315.0644655,-334.4530303,-179.344388,-159.95581,-232.6629811,-135.7200598,-431.3959075,
POST,5,-529.9625237,-261.7458504,-373.2301776,-339.3001759,-424.9250051,-281.1344196,-382.9244689,-126.0257774,-382.9245042,-397.4659411,-169.6501145,-189.0386837,-319.9116111,-164.8029512,-208.4272447,
POST,6,-510.8649215,-290.8287418,-368.3830673,-368.3830673,-484.6054182,-315.0644567,-378.0773056,-135.7200863,-261.745793,-475.0203064,-184.1915204,-222.9686987,-426.5487795,-198.7329705,-261.745846,
